Correct name with authors,Family,Order,Superorder,"Group (Dicot, Monocot, Gymnosperm, Fern)",Sample reference code,"Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)",Nearctic,Neotropic,Palearctic,Afrotropic,Indo-Malay,Australasia,Oceania,Number of Biogeographic Realms,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Coniferous Forests,Temperate Broadleaf and Mixed Forests,Temperate Coniferous Forests,Boreal Forests/Taiga,"Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands",Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tundra,"Mediterranean Forests, Woodlands, and Scrub",Deserts and Xeric Shrublands,Mangroves,Number of Biomes,C (%),S (%),R (%)
Abarema cochliocarpos (Gomes) Barneby & J.W. Grimes,Fabaceae,Fabales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,22.83,61.39,15.78
Abarema macradenia (Pittier) Barneby & J.W. Grimes,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.76,45.24,0.00
Abuta racemosa (Thunb.) Triana & Planch.,Menispermaceae,Ranunculales,Ranunculanae,Dicot,Wright,perennial,liana,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.59,63.12,7.28
Abutilon theophrasti Medik.,Malvaceae,Malvales,Rosanae,Dicot,Cerabolini/Pierce,annual,forb,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4,66.59,14.07,19.34
Acalypha diversifolia Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,shrub,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,6,43.52,35.93,20.55
Acalypha macrostachya Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,shrub,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,6,67.91,11.30,20.79
Acalypha virginica L.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Cerabolini/Pierce,annual,forb,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,28.02,30.08,41.90
Acer campestre L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,42.29,29.41,28.30
Acer monspessulanum L.,Sapindaceae,Sapindales,Rosanae,Dicot,Díaz,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4,23.49,68.83,7.69
Acer negundo L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,1,1,0,0,0,0,0,2,1,1,1,1,1,1,0,1,0,0,0,0,1,0,8,50.38,23.31,26.31
Acer opalus Mill.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.55,25.57,26.88
Acer platanoides L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,48.76,35.31,15.93
Acer pseudoplatanus L.,Sapindaceae,Sapindales,Rosanae,Dicot,Díaz,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,37.51,54.93,7.55
Acer saccharum Marshall,Sapindaceae,Sapindales,Rosanae,Dicot,Shipley,perennial,tree,1,1,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,4,27.13,56.44,16.43
Aceras anthropophorum (L.) W.T. Aiton,Orchidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,41.33,0.00,58.67
Achillea atrata L.,Asteraceae,Asterales,Asteranae,Dicot,Caccianiga,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,10.13,25.27,64.60
Achillea cartilaginea Ledeb.,Asteraceae,Asterales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,23.48,26.19,50.33
Achillea clavenae L.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,48.55,0.00,51.45
Achillea collina (Becker ex Rchb. f.) Heimerl,Asteraceae,Asterales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,41.02,15.79,43.19
Achillea macrophylla L.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,64.71,0.00,35.29
Achillea millefolium L.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,1,1,1,1,0,8,22.02,58.81,19.18
Achillea moschata Wulfen,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5.80,58.94,35.26
Achillea pannonica Scheele,Asteraceae,Asterales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,23.79,76.21,0.00
Achillea roseo-alba Ehrend.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,36.20,14.11,49.69
Achnatherum calamagrostis (L.) P. Beauv.,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,43.37,40.86,15.77
Acinos arvensis (Lam.) Dandy,Lamiaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,6,2.87,50.89,46.23
Aconitum lycoctonum L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,74.03,0.00,25.97
Aconitum napellus L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,66.90,3.80,29.30
Aconitum nasutum Fisch. ex Rchb.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,47.28,9.32,43.41
Acorus calamus L.,Acoraceae,Acorales,Lilianae,Monocot,Shipley,perennial,forb,1,0,1,0,1,0,0,3,1,1,0,1,1,1,0,1,1,1,0,0,0,0,8,5.83,61.14,33.03
Actaea spicata L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,7,60.90,14.82,24.28
Adelia triloba (Müll. Arg.) Hemsl.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,33.59,38.75,27.66
Adenostyles alliariae (Gouan) A. Kern. alliariae,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,86.65,0.00,13.35
Adenostyles glabra (Mill.) DC.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,80.12,0.00,19.88
Adenostyles leucophylla (Willd.) Rchb.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,54.00,3.77,42.23
Adiantum capillus-veneris L.,Pteridaceae,Polypodiales,,Fern,Cerabolini,perennial,forb,1,1,1,1,1,1,1,7,1,1,1,1,1,0,1,1,1,1,0,1,1,0,11,48.00,0.00,52.00
Adonis aestivalis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,6,12.24,0.00,87.76
Adonis vernalis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,11.26,69.89,18.85
Adoxa moschatellina L. moschatellina,Adoxaceae,Dipsacales,Asteranae,Dicot,Cerabolini,perennial,forb,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,30.87,0.00,69.13
Aegilops geniculata Roth,Poaceae,Poales,Lilianae,Monocot,Wright,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.31,49.97,48.72
Aegiphila cephalophora Standl.,Lamiaceae,Lamiales,Asteranae,Dicot,Wright,perennial,liana,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.20,29.94,27.86
Aegiphila elata Sw.,Lamiaceae,Lamiales,Asteranae,Dicot,Wright,perennial,liana,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,55.20,34.78,10.02
Aegiphila panamensis Moldenke,Lamiaceae,Lamiales,Asteranae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,48.20,21.43,30.36
Aegiphila pernambucensis Moldenke,Lamiaceae,Lamiales,Asteranae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.66,41.29,2.05
Aegopodium podagraria L.,Apiaceae,Apiales,Asteranae,Dicot,Wright,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,65.13,13.53,21.34
Aesculus hippocastanum L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,76.55,12.52,10.93
Aetheopappus caucasicus Sosn.,Asteraceae,Asterales,Asteranae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,40.22,18.14,41.63
Aethusa cynapium L.,Apiaceae,Apiales,Asteranae,Dicot,Kleyer,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,55.61,9.31,35.09
Agalinis brachyphylla (Cham. & Schltdl.) D'Arcy,Orobanchaceae,Lamiales,Asteranae,Dicot,Negreiros,perennial,forb,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.27,98.73,0.00
Agave virginica L.,Asparagaceae,Asparagales,Lilianae,Monocot,Weiher,perennial,shrub,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,17.27,82.73,0.00
Agonandra brasiliensis Miers ex Benth. & Hook. f.,Opiliaceae,Santalales,Santalanae,Dicot,Pinho,perennial,shrub,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,32.96,67.04,0.00
Agoseris glauca (Pursh) Raf.,Asteraceae,Asterales,Asteranae,Dicot,Laughlin,perennial,shrub,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,34.44,4.56,61.00
Agrimonia eupatoria L. eupatoria,Rosaceae,Rosales,Rosanae,Dicot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,5,39.20,52.34,8.46
Agrimonia gryposepala Wallr.,Rosaceae,Rosales,Rosanae,Dicot,Shipley,perennial,forb,1,1,0,0,0,0,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,6,14.23,72.93,12.84
Agrimonia procera Wallr.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,54.24,29.86,15.90
Agrimonia pubescens Wallr.,Rosaceae,Rosales,Rosanae,Dicot,Weiher,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,43.10,45.77,11.13
Agropyron desertorum (Fisch. ex Link) Schult.,Poaceae,Poales,Lilianae,Monocot,Laughlin,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,12.12,87.88,0.00
Agropyron junceum (L.) Beauv.,Poaceae,Poales,Lilianae,Monocot,Cerabolini,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,31.81,68.19,0.00
Agropyron repens (L.) P. Beauv.,Poaceae,Poales,Lilianae,Monocot,Reich,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,6,26.03,50.85,23.12
Agrostemma githago L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini/Pierce,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,28.76,44.02,27.23
Agrostis alba L.,Poaceae,Poales,Lilianae,Monocot,Shipley,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,19.03,44.79,36.18
Agrostis alpina Scop.,Poaceae,Poales,Lilianae,Monocot,Cerabolini,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.10,95.21,3.69
Agrostis canina L.,Poaceae,Poales,Lilianae,Monocot,Díaz,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,4.46,41.75,53.79
Agrostis capillaris L.,Poaceae,Poales,Lilianae,Monocot,Díaz,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,5.90,52.83,41.27
Agrostis gigantea Roth,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,8,12.74,35.30,51.95
"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",Poaceae,Poales,Lilianae,Monocot,Siefert,perennial,graminoid,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,5,4.94,79.25,15.81
Agrostis mertensii Trin.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,1,1,1,0,0,0,0,3,0,0,1,1,1,1,0,0,0,1,1,0,0,0,6,2.84,60.91,36.26
Agrostis rupestris All.,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.87,83.47,14.65
Agrostis schraderiana Bech.,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,8.71,60.66,30.63
Agrostis stolonifera L.,Poaceae,Poales,Lilianae,Monocot,Díaz,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,11.40,46.71,41.89
Agrostis tenuis Sibth.,Poaceae,Poales,Lilianae,Monocot,Wright,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,11.55,49.33,39.12
Agrostis vinealis Schreb.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,7,9.44,63.75,26.81
Aidia densiflora (Wall.) Masam.  ,Rubiaceae,Gentianales,Asteranae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.30,60.51,1.19
Ailanthus altissima (Mill.) Swingle,Simaroubaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,1,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,5,74.92,21.32,3.76
Aira praecox L.,Poaceae,Poales,Lilianae,Monocot,Kleyer,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,0.00,56.61,43.39
Ajuga chamaepitys (L.) Schreber chamaepitys,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,11.92,3.73,84.34
Ajuga genevensis L.,Lamiaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,26.17,0.00,73.83
Ajuga orientalis L.,Lamiaceae,Lamiales,Asteranae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,32.68,42.26,25.06
Ajuga pyramidalis L.,Lamiaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,27.19,41.12,31.69
Ajuga reptans L.,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,5,23.85,16.87,59.29
Alangium ebenaceum (C.B. Clarke) Harms  ,Alangiaceae,Cornales,Asteranae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,49.72,50.28,0.00
Albizia julibrissin Durazz.,Fabaceae,Fabales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,4,61.82,24.62,13.56
Alcea rosea L.,Malvaceae,Malvales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,72.51,14.17,13.32
Alchemilla alpina L.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,15.16,66.94,17.90
Alchemilla caucasica Buser,Rosaceae,Rosales,Rosanae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,17.28,68.71,14.02
Alchemilla glabra Neygenf.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,25.42,40.17,34.41
Alchemilla glaucescens Wallr.,Rosaceae,Rosales,Rosanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,32.77,42.40,24.83
Alchemilla mollis (Buser) Rothm.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,60.01,24.15,15.84
Alchemilla monticola Opiz,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,42.58,33.68,23.75
Alchemilla pentaphyllea L.,Rosaceae,Rosales,Rosanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,13.32,44.02,42.67
Alchemilla propinqua Lindb. fil. ex Juz.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,39.80,32.89,27.32
Alchemilla subcrenata Buser,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,41.01,27.85,31.15
Alchemilla subglobosa G.C. Westerl.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,38.56,31.76,29.67
Alchemilla vulgaris L.,Rosaceae,Rosales,Rosanae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,37.16,38.99,23.85
Alchemilla xanthochlora Rothm.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,56.32,20.10,23.57
Alchornea costaricensis Pax & K. Hoffm.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,33.56,52.03,14.42
Alchornea latifolia Sw.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4,47.81,35.29,16.89
Alibertia edulis (Rich.) A. Rich. ex DC.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4,36.82,48.46,14.72
Alibertia myrciifolia K. Schum.,Rubiaceae,Gentianales,Asteranae,Dicot,Pinho,perennial,shrub,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,41.02,58.98,0.00
Alisma lanceolatum With.,Alismataceae,Alismatales,Lilianae,Monocot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,5,44.92,0.00,55.08
Alisma plantago-aquatica L.,Alismataceae,Alismatales,Lilianae,Monocot,Kleyer,perennial,aquatic,0,0,1,0,1,0,0,2,1,0,0,1,1,1,0,0,0,1,0,1,0,0,6,71.18,0.00,28.82
Alliaria petiolata (M. Bieb.) Cavara & Grande,Brassicaceae,Brassicales,Rosanae,Dicot,Cerabolini/Pierce,biennial,forb,0,0,1,0,1,0,0,2,0,0,1,1,1,1,0,0,0,1,0,1,1,0,7,56.25,1.06,42.70
Allium carinatum L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,39.90,0.00,60.10
Allium insubricum Boiss. & Reut.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,53.35,0.00,46.65
Allium paradoxum (M. Bieb.) G. Don,Amaryllidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,44.60,0.00,55.40
Allium senescens L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,49.60,0.00,50.40
Allium sphaerocephalon L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,39.95,0.00,60.05
Allium ursinum L. ursinum,Amaryllidaceae,Asparagales,Lilianae,Monocot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,45.66,0.00,54.34
Allium vineale L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Díaz,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,48.45,4.32,47.24
"Allophylus edulis (A. St.-Hil., A. Juss. & Cambess.) Hieron. ex Niederl.",Sapindaceae,Sapindales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,5,37.57,54.58,7.86
Allophylus psilospermus Radlk.,Sapindaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,50.20,27.68,22.12
Alnus cordata (Loisel.) Loisel.,Betulaceae,Fagales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,42.71,34.38,22.91
Alnus glutinosa (L.) Gaertn.,Betulaceae,Fagales,Rosanae,Dicot,Díaz,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,25.42,62.68,11.90
Alnus incana (L.) Moench,Betulaceae,Fagales,Rosanae,Dicot,Kleyer,perennial,shrub,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,1,1,1,0,7,40.12,35.30,24.58
Alnus viridis (Chaix) DC.,Betulaceae,Fagales,Rosanae,Dicot,Kleyer,perennial,tree,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,1,1,0,0,6,32.87,40.36,26.77
Alopecurus aequalis Sobol.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,1,0,1,0,1,0,0,3,1,0,0,1,1,1,0,1,0,1,1,1,1,0,9,22.68,7.54,69.78
Alopecurus geniculatus L.,Poaceae,Poales,Lilianae,Monocot,Kleyer,annual,graminoid,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,1,1,0,0,6,13.09,27.34,59.57
Alopecurus pratensis L.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,11.88,58.78,29.34
Alphonsea maingayi Hook. f. & Thomson  ,Annonaceae,Magnoliales,Magnolianae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.52,60.05,9.43
